Video | Codec | Resolution | ProcessingTime_s | Energy_J
glass_half.mp4 | h264 | 854x480 | 52.05s | 684.37J
glass_half.mp4 | h264 | 1280x720 | 78.25s | 1080.79J
glass_half.mp4 | h264 | 1920x1080 | 128.95s | 1792.72J
glass_half.mp4 | h265 | 854x480 | 175.09s | 2241.06J
glass_half.mp4 | h265 | 1280x720 | 293.08s | 3894.39J
glass_half.mp4 | h265 | 1920x1080 | 544.81s | 7499.20J
glass_half.mp4 | vp9 | 854x480 | 369.89s | 4283.54J
glass_half.mp4 | vp9 | 1280x720 | 542.43s | 7168.49J
glass_half.mp4 | vp9 | 1920x1080 | 945.68s | 12687.63J
sintel.mp4 | h264 | 854x480 | 18.56s | 262.68J
sintel.mp4 | h264 | 1280x720 | 31.90s | 457.25J
sintel.mp4 | h264 | 1920x1080 | 70.11s | 1014.28J
sintel.mp4 | h265 | 854x480 | 88.09s | 1189.50J
sintel.mp4 | h265 | 1280x720 | 151.05s | 2107.05J
sintel.mp4 | h265 | 1920x1080 | 348.29s | 4875.25J
sintel.mp4 | vp9 | 854x480 | 89.28s | 1047.02J
sintel.mp4 | vp9 | 1280x720 | 116.45s | 1551.89J
sintel.mp4 | vp9 | 1920x1080 | 189.11s | 2527.92J
tearsofsteel.mp4 | h264 | 854x480 | 61.82s | 865.89J
tearsofsteel.mp4 | h264 | 1280x720 | 101.86s | 1435.29J
tearsofsteel.mp4 | h264 | 1920x1080 | 244.68s | 3450.86J
tearsofsteel.mp4 | h265 | 854x480 | 269.94s | 3690.89J
tearsofsteel.mp4 | h265 | 1280x720 | 484.96s | 6757.21J
tearsofsteel.mp4 | h265 | 1920x1080 | 1154.30s | 16155.51J
tearsofsteel.mp4 | vp9 | 854x480 | 260.11s | 3074.76J
tearsofsteel.mp4 | vp9 | 1280x720 | 333.85s | 4556.00J
tearsofsteel.mp4 | vp9 | 1920x1080 | 606.22s | 8294.54J
wingit.mp4 | h264 | 854x480 | 87.54s | 1249.15J
wingit.mp4 | h264 | 1280x720 | 145.21s | 2088.38J
wingit.mp4 | h264 | 1920x1080 | 230.62s | 3341.64J
wingit.mp4 | h265 | 854x480 | 319.63s | 4401.23J
wingit.mp4 | h265 | 1280x720 | 605.29s | 8499.20J
wingit.mp4 | h265 | 1920x1080 | 1071.35s | 15106.83J
wingit.mp4 | vp9 | 854x480 | 535.56s | 6258.94J
wingit.mp4 | vp9 | 1280x720 | 723.99s | 9672.47J
wingit.mp4 | vp9 | 1920x1080 | 1232.35s | 16699.53J
glass_half.mp4 | av1 | 854x480 | 75.01s | 966.58J
glass_half.mp4 | av1 | 1280x720 | 109.77s | 1363.92J
glass_half.mp4 | av1 | 1920x1080 | 184.07s | 2204.49J
sintel.mp4 | av1 | 854x480 | 15.83s | 219.08J
sintel.mp4 | av1 | 1280x720 | 23.85s | 320.98J
sintel.mp4 | av1 | 1920x1080 | 51.65s | 706.03J
tearsofsteel.mp4 | av1 | 854x480 | 41.43s | 589.87J
tearsofsteel.mp4 | av1 | 1280x720 | 56.38s | 781.34J
tearsofsteel.mp4 | av1 | 1920x1080 | 101.24s | 1415.79J
wingit.mp4 | av1 | 854x480 | 94.90s | 1340.56J
wingit.mp4 | av1 | 1280x720 | 139.47s | 1942.87J
wingit.mp4 | av1 | 1920x1080 | 221.40s | 3062.46J

glass_half.mp4 | h264 | 854x480 | 49.32s | 672.55J
glass_half.mp4 | h264 | 1920x1080 | 129.13s | 1831.12J
glass_half.mp4 | h265 | 854x480 | 89.28s | 1219.03J
glass_half.mp4 | h265 | 1280x720 | 153.03s | 2147.54J
glass_half.mp4 | h265 | 1920x1080 | 289.06s | 4037.17J
glass_half.mp4 | vp9 | 854x480 | 408.84s | 4757.66J
glass_half.mp4 | vp9 | 1280x720 | 600.59s | 7937.62J
glass_half.mp4 | vp9 | 1920x1080 | 1094.84s | 14589.65J
sintel.mp4 | h264 | 854x480 | 14.09s | 198.50J
sintel.mp4 | h264 | 1280x720 | 25.54s | 360.66J
sintel.mp4 | h264 | 1920x1080 | 54.79s | 773.91J
sintel.mp4 | h265 | 854x480 | 26.48s | 364.79J
sintel.mp4 | h265 | 1280x720 | 49.63s | 704.94J
sintel.mp4 | h265 | 1920x1080 | 109.47s | 1569.08J
sintel.mp4 | vp9 | 854x480 | 82.27s | 951.71J
sintel.mp4 | vp9 | 1280x720 | 116.10s | 1519.54J
sintel.mp4 | vp9 | 1920x1080 | 222.37s | 2945.13J
tearsofsteel.mp4 | h264 | 854x480 | 42.17s | 600.08J
tearsofsteel.mp4 | h264 | 1280x720 | 76.56s | 1090.46J
tearsofsteel.mp4 | h264 | 1920x1080 | 168.63s | 2415.19J
tearsofsteel.mp4 | h265 | 854x480 | 79.46s | 1121.90J
tearsofsteel.mp4 | h265 | 1280x720 | 154.20s | 2237.88J
tearsofsteel.mp4 | h265 | 1920x1080 | 342.33s | 4985.83J
tearsofsteel.mp4 | vp9 | 854x480 | 288.75s | 3427.26J
tearsofsteel.mp4 | vp9 | 1280x720 | 403.75s | 5475.67J
tearsofsteel.mp4 | vp9 | 1920x1080 | 778.26s | 10604.99J
wingit.mp4 | h264 | 854x480 | 74.33s | 1067.78J
wingit.mp4 | h264 | 1280x720 | 129.41s | 1857.12J
wingit.mp4 | h264 | 1920x1080 | 226.82s | 3247.53J
wingit.mp4 | h265 | 854x480 | 118.79s | 1651.29J
wingit.mp4 | h265 | 1280x720 | 229.76s | 3256.15J
wingit.mp4 | h265 | 1920x1080 | 428.31s | 6030.83J
wingit.mp4 | vp9 | 854x480 | 514.98s | 6077.22J
wingit.mp4 | vp9 | 1280x720 | 761.45s | 10227.48J
wingit.mp4 | vp9 | 1920x1080 | 1384.55s | 18597.41J
glass_half.mp4 | av1 | 854x480 | 68.87s | 944.87J
glass_half.mp4 | av1 | 1280x720 | 95.62s | 1332.23J
glass_half.mp4 | av1 | 1920x1080 | 156.53s | 2168.33J
sintel.mp4 | av1 | 854x480 | 13.66s | 191.86J
sintel.mp4 | av1 | 1280x720 | 20.40s | 277.65J
sintel.mp4 | av1 | 1920x1080 | 41.68s | 580.45J
tearsofsteel.mp4 | av1 | 854x480 | 39.94s | 574.15J
tearsofsteel.mp4 | av1 | 1280x720 | 54.17s | 755.56J
tearsofsteel.mp4 | av1 | 1920x1080 | 99.27s | 1391.07J
wingit.mp4 | av1 | 854x480 | 83.75s | 1200.80J
wingit.mp4 | av1 | 1280x720 | 117.35s | 1659.87J
wingit.mp4 | av1 | 1920x1080 | 193.68s | 2705.71J

glass_half.mp4 | h264 | 854x480 | 48.83s | 698.80J
glass_half.mp4 | h264 | 1280x720 | 77.91s | 1120.81J
glass_half.mp4 | h264 | 1920x1080 | 129.52s | 1857.85J
glass_half.mp4 | h265 | 854x480 | 88.71s | 1220.93J
glass_half.mp4 | h265 | 1280x720 | 152.85s | 2151.27J
glass_half.mp4 | h265 | 1920x1080 | 288.91s | 4042.67J
glass_half.mp4 | vp9 | 854x480 | 406.55s | 4754.86J
glass_half.mp4 | vp9 | 1280x720 | 600.29s | 7953.89J
glass_half.mp4 | vp9 | 1920x1080 | 1086.85s | 14498.21J
sintel.mp4 | h264 | 854x480 | 14.07s | 198.61J
sintel.mp4 | h264 | 1280x720 | 25.51s | 361.87J
sintel.mp4 | h264 | 1920x1080 | 54.84s | 777.53J
sintel.mp4 | h265 | 854x480 | 26.59s | 366.49J
sintel.mp4 | h265 | 1280x720 | 49.65s | 707.13J
sintel.mp4 | h265 | 1920x1080 | 109.59s | 1574.46J
sintel.mp4 | vp9 | 854x480 | 82.01s | 951.02J
sintel.mp4 | vp9 | 1280x720 | 116.53s | 1532.53J
sintel.mp4 | vp9 | 1920x1080 | 221.82s | 2940.16J
tearsofsteel.mp4 | h264 | 854x480 | 41.96s | 599.52J
tearsofsteel.mp4 | h264 | 1280x720 | 77.07s | 1098.94J
tearsofsteel.mp4 | h264 | 1920x1080 | 168.65s | 2419.84J
tearsofsteel.mp4 | h265 | 854x480 | 79.46s | 1124.48J
tearsofsteel.mp4 | h265 | 1280x720 | 154.38s | 2245.46J
tearsofsteel.mp4 | h265 | 1920x1080 | 343.05s | 5005.44J
tearsofsteel.mp4 | vp9 | 854x480 | 284.94s | 3381.47J
tearsofsteel.mp4 | vp9 | 1280x720 | 402.60s | 5463.51J
tearsofsteel.mp4 | vp9 | 1920x1080 | 776.40s | 10571.70J
wingit.mp4 | h264 | 854x480 | 74.51s | 1065.04J
wingit.mp4 | h264 | 1280x720 | 129.43s | 1853.90J
wingit.mp4 | h264 | 1920x1080 | 227.79s | 3244.18J
wingit.mp4 | h265 | 854x480 | 118.46s | 1646.02J
wingit.mp4 | h265 | 1280x720 | 214.71s | 3041.65J
wingit.mp4 | h265 | 1920x1080 | 426.17s | 5999.80J
wingit.mp4 | vp9 | 854x480 | 515.06s | 6078.82J
wingit.mp4 | vp9 | 1280x720 | 759.29s | 10188.60J
wingit.mp4 | vp9 | 1920x1080 | 1384.21s | 18572.55J
glass_half.mp4 | av1 | 854x480 | 68.78s | 969.42J
glass_half.mp4 | av1 | 1280x720 | 94.33s | 1318.12J
glass_half.mp4 | av1 | 1920x1080 | 154.36s | 2134.14J
sintel.mp4 | av1 | 854x480 | 13.64s | 192.13J
sintel.mp4 | av1 | 1280x720 | 20.22s | 276.01J
sintel.mp4 | av1 | 1920x1080 | 41.73s | 579.65J
tearsofsteel.mp4 | av1 | 854x480 | 39.84s | 573.07J
tearsofsteel.mp4 | av1 | 1280x720 | 54.22s | 758.06J
tearsofsteel.mp4 | av1 | 1920x1080 | 98.95s | 1386.94J
wingit.mp4 | av1 | 854x480 | 83.59s | 1197.20J
wingit.mp4 | av1 | 1280x720 | 116.32s | 1643.74J
wingit.mp4 | av1 | 1920x1080 | 193.95s | 2704.81J

glass_half.mp4 | h264 | 1280x720 | 78.32s | 1125.04J
glass_half.mp4 | h264 | 1920x1080 | 130.22s | 1857.32J
glass_half.mp4 | h265 | 854x480 | 89.23s | 1223.23J
glass_half.mp4 | h265 | 1280x720 | 152.62s | 2147.31J
glass_half.mp4 | h265 | 1920x1080 | 288.36s | 4030.98J
glass_half.mp4 | vp9 | 854x480 | 408.33s | 4758.23J
glass_half.mp4 | vp9 | 1280x720 | 601.74s | 7961.82J
glass_half.mp4 | vp9 | 1920x1080 | 1086.56s | 14462.13J
sintel.mp4 | h264 | 854x480 | 14.13s | 199.25J
sintel.mp4 | h264 | 1280x720 | 25.61s | 362.03J
sintel.mp4 | h264 | 1920x1080 | 55.67s | 782.43J
sintel.mp4 | h265 | 854x480 | 26.53s | 365.03J
sintel.mp4 | h265 | 1280x720 | 49.57s | 705.05J
sintel.mp4 | h265 | 1920x1080 | 109.52s | 1572.29J
sintel.mp4 | vp9 | 854x480 | 82.60s | 950.60J
sintel.mp4 | vp9 | 1280x720 | 116.30s | 1526.70J
sintel.mp4 | vp9 | 1920x1080 | 221.62s | 2930.36J
tearsofsteel.mp4 | h264 | 854x480 | 42.49s | 602.96J
tearsofsteel.mp4 | h264 | 1280x720 | 76.65s | 1089.95J
tearsofsteel.mp4 | h264 | 1920x1080 | 171.31s | 2437.15J
tearsofsteel.mp4 | h265 | 854x480 | 79.70s | 1123.71J
tearsofsteel.mp4 | h265 | 1280x720 | 154.63s | 2240.38J
tearsofsteel.mp4 | h265 | 1920x1080 | 343.04s | 4987.46J
